0;67
1;959
2;680
3;275
4;205
5;255
6;854
7;588
8;508
9;145
10;584
11;132
12;35
13;967
14;261
15;391
16;844
17;826
18;478
19;999
20;403
21;937
22;761
23;444
24;886
25;738
26;436
27;922
28;7
29;692
30;945
31;736
32;962
33;955
34;587
35;630
36;70
37;265
38;575
39;377
40;217
41;492
42;115
43;38
44;198
45;332
46;650
47;214
48;752
49;254
50;436
51;634
52;213
53;842
54;660
55;645
56;95
57;90
58;897
59;695
60;436
61;771
62;819
63;711
64;828
65;219
66;654
67;635
68;613
69;150
70;250
71;71
72;188
73;931
74;527
75;445
76;835
77;233
78;812
79;155
80;680
81;249
82;715
83;719
84;746
85;258
86;433
87;920
88;258
89;535
90;20
91;979
92;810
93;440
94;260
95;317
96;270
97;569
98;783
99;563
100;309
101;929
102;35
103;64
104;504
105;468
106;906
107;546
108;256
109;249
110;720
111;981
112;113
113;55
114;142
115;815
116;200
117;720
118;272
119;913
120;911
121;297
122;354
123;111
124;937
125;792
126;897
127;134
128;731
129;980
130;586
131;272
132;695
133;511
134;111
135;254
136;413
137;79
138;566
139;419
140;12
141;911
142;680
143;863
144;760
145;322
146;247
147;478
148;505
149;45
150;717
151;874
152;618
153;812
154;837
155;731
156;975
157;148
158;329
159;548
160;4
161;332
162;175
163;34
164;595
165;14
166;946
167;266
168;724
169;992
170;659
171;989
172;429
173;712
174;142
175;500
176;43
177;396
178;268
179;127
180;484
181;201
182;76
183;349
184;991
185;888
186;917
187;375
188;107
189;751
190;72
191;572
192;603
193;522
194;155
195;752
196;719
197;382
198;446
199;513
